filename,mean_R,mean_G,mean_B,contrast_R,dissimilarity_R,homogeneity_R,energy_R,correlation_R,entropy_R,contrast_G,dissimilarity_G,homogeneity_G,energy_G,correlation_G,entropy_G,contrast_B,dissimilarity_B,homogeneity_B,energy_B,correlation_B,entropy_B
ph_01.jpg,56.933289045569374,63.43943320891353,71.00547922328916,6.046818682084632,2.0083829688817585,0.41829317084580486,0.12695553486043726,1.5802099184964714e-16,2.1807556940462143,6.031038514728259,2.0041073819806146,0.4187749996489251,0.1271010056472033,4.5207882047107255e-17,2.1803156943313295,6.039873069902832,2.006146295396466,0.4185063461750019,0.12691723034091873,6.776221056278945e-17,2.1810531212896773
ph_02.jpg,57.38033610808459,64.003072954706,71.60959113825665,5.9001330653327395,1.975367934180061,0.42234040729195316,0.12958023055968898,0.0,2.170329325225138,5.884906465058195,1.9712765660430398,0.42282376804915633,0.1297400866254223,1.6018006810765804e-16,2.1698076677516793,5.89398637143114,1.9734129524477542,0.42253141397436983,0.12953686490112243,0.0,2.170625008025191
ph_03.jpg,56.816999492143694,63.56576121823653,71.14096697986135,6.118451130529151,2.0242851917309217,0.4163343670533203,0.1256907294197486,1.5709324427948074e-16,2.1858235505669468,6.102824440229376,2.0199867675570014,0.4168113254466237,0.12582979475936043,0.0,2.1854163899980232,6.1102545124123875,2.0217702799724293,0.4165645150407643,0.1256655168448252,0.0,2.186082497902513
ph_04.jpg,56.710391448458076,63.54477697475286,71.08829048233379,5.965435826349921,1.9904472589413162,0.42044782933441305,0.12832121867138804,0.0,2.175267970815144,5.948875454664135,1.985950356733519,0.4209679578380117,0.12847931857304856,0.0,2.174776188595423,5.9572136783556635,1.9878893015262753,0.4207104622194036,0.12830052183462368,0.0,2.175487517111497
ph_05.jpg,56.51967257236703,63.306698627191565,70.84050736491422,6.078981780187834,2.0158309300203086,0.41737437901956614,0.1263521260143361,0.0,2.1830845842986095,6.062972874606823,2.0114466332858028,0.41786202067341816,0.12650206552156423,0.0,2.1826392379281985,6.071167751682442,2.0133351907516577,0.41761971072718473,0.12631851759496934,1.351746800854873e-16,2.1833784114903527
ph_06.jpg,56.64336526642002,63.470716384202774,71.03725709701752,6.059716329244463,2.0114754886598654,0.41784650776743276,0.1267160941453519,4.510078126364747e-17,2.1816508870796762,6.043284356472252,2.0070366012961527,0.41834751163162925,0.1268620495752104,0.0,2.1812080432995535,6.051881731984236,2.009020900015786,0.41808653812875507,0.12668471957804278,6.769494739057169e-17,2.1819281871210316
ph_07.jpg,56.85391810143557,63.717166628253175,71.28978265945092,5.958076921775284,1.9883367609796747,0.42077287012702014,0.12853731059468884,2.2741921882407517e-16,2.174387784232784,5.942094504198814,1.9839954165725457,0.4212845465895096,0.128700104557352,0.0,2.173863649834639,5.950160176002404,1.985920270909339,0.4210196226790043,0.12851428613478894,0.0,2.1746072770583433
ph_08.jpg,56.959609459497216,63.58063048265306,71.18244344985094,6.094330094036502,2.019127589366693,0.4169404726886566,0.12604125814243164,0.0,2.1843689576902685,6.0788325035914195,2.0148607588342373,0.41742264767743675,0.12618117700608314,0.0,2.183947785823235,6.087296766612745,2.0168638274616937,0.4171524933584328,0.12599542150107035,1.799939741813453e-16,2.184697836382461
ph_09.jpg,57.167398892693654,63.76298475832425,71.36692824010329,6.091081239258516,2.018056893382834,0.4171394242832895,0.1260910947526162,6.747676842307757e-17,2.1841549902517285,6.076599808259204,2.014040066413265,0.4175913532902985,0.12622678262189735,0.0,2.18374542731266,6.084661804201179,2.0159474355976656,0.4173279323484691,0.12604341291836937,0.0,2.1844897933603407
ph_10.jpg,57.17297234128742,63.770321236575235,71.40455961923747,6.109645000992693,2.0221369173119648,0.4166209994156669,0.12582337234206176,1.5720641658954563e-16,2.185286508754498,6.094286137942545,2.0179391727175746,0.41708840089196925,0.1259607964076082,1.3491804710516473e-16,2.184879046369617,6.1022149167207225,2.019815205431673,0.4168318956746402,0.12578761336704017,0.0,2.1855832777277313
ph_11.jpg,57.07705578287696,63.69717801760436,71.31775111199579,6.080551146849752,2.0158940925930877,0.417356631975928,0.1262981437485839,1.3507034027503136e-16,2.1833654498807604,6.064922453444922,2.0116872009307074,0.4178212428365487,0.12643477474013426,0.0,2.182955222204007,6.073090259355292,2.0135821942445205,0.4175660056082772,0.12626195738081614,0.0,2.1836513934327373
ph_12.jpg,56.842663758715375,63.662421788632,71.2659286287281,6.107190244756597,2.021809244016845,0.41665996370727537,0.1257878248486109,8.985029005826108e-17,2.185390701842894,6.091231511645832,2.0174266227753206,0.4171520623132539,0.12593308543810117,0.0,2.184962988933752,6.09885059870366,2.0192375038345527,0.41690615219732047,0.12576416292320572,0.0,2.185643873769882
ph_13.jpg,57.92676804336634,64.11394714103838,71.44889683432909,6.055317962252337,2.0099581541625784,0.4180944691529008,0.12665559073799504,0.0,2.1818772132142232,6.040045687360972,2.0057666013940367,0.4185751315179657,0.12680906441848477,0.0,2.181389634110349,6.048720550988122,2.0078372551343167,0.4182888686216755,0.12661979430882567,0.0,2.1821481519641903
ph_14.jpg,58.20990909721308,64.48673150564927,71.8672248222004,5.7607887761306165,1.9438077639558276,0.42639460955415676,0.13209743462826454,0.0,2.160336343432315,5.746868693756409,1.940034101360458,0.42686543255317894,0.13225354084083824,1.389363320556305e-16,2.1598014294795855,5.75581364983637,1.942202517007163,0.4265565788118362,0.13203566627680297,9.255222097626421e-17,2.1606563114412047
