filename,lbp_R_0,lbp_G_0,lbp_B_0,lbp_R_1,lbp_G_1,lbp_B_1,lbp_R_2,lbp_G_2,lbp_B_2,lbp_R_3,lbp_G_3,lbp_B_3,lbp_R_4,lbp_G_4,lbp_B_4,lbp_R_5,lbp_G_5,lbp_B_5,lbp_R_6,lbp_G_6,lbp_B_6,lbp_R_7,lbp_G_7,lbp_B_7,lbp_R_8,lbp_G_8,lbp_B_8,lbp_R_9,lbp_G_9,lbp_B_9
ph_01.jpg,0.04246181349600672,0.042494926425689084,0.04256707644384819,0.06067448605739836,0.060698806288238503,0.06084441587544811,0.06391705878361889,0.06395285317465028,0.06402294532712291,0.15641830846932608,0.15656884446226998,0.15650411523249544,0.2188799573360778,0.21935395239919564,0.21881204776842414,0.1356829420145823,0.13587407408515936,0.13573233079105768,0.07129881007970007,0.07175334895814581,0.07187569842714163,0.06691985897758207,0.06839117058384475,0.06848177903361587,0.08299821302426882,0.07953183181475268,0.07954555091932917,0.10074855176143262,0.10138019180804764,0.1016140401815106
ph_02.jpg,0.040547811328887094,0.04057924055028051,0.04067359057402704,0.05991108024728274,0.059919810586558694,0.06003068589536326,0.0629637057346851,0.06298883663988658,0.0630854939675846,0.15733013004713287,0.15746975311598183,0.15740097051440058,0.2266914284032345,0.22715226559787216,0.22660618287616147,0.1371180227128498,0.13729262949836882,0.13712057945506634,0.07134582919265768,0.07172884164860689,0.07184676358839848,0.06644904425234331,0.06784970247003705,0.06794854238255406,0.0800179869932906,0.0768587890071554,0.07692401711346,0.09762496108763004,0.0981601308852458,0.09836317363297792
ph_03.jpg,0.04343618171876906,0.043494113755821615,0.043533587361262165,0.06109859346751078,0.06110807212158181,0.06126833620686176,0.06461978873576665,0.0646593870603397,0.06473951910297969,0.15620591178665547,0.1563598775557435,0.15631385619584598,0.2148124299078462,0.21528467890310884,0.21479203832968022,0.13498463959163878,0.1351834418888654,0.1350358367955356,0.07136690672605248,0.07183959223827895,0.07192521192274952,0.06719355511388311,0.06875235719160408,0.06889940104883759,0.08389294808092124,0.08021566681832464,0.08021460670569826,0.10238904487094998,0.10310281246632519,0.10327760633054296
ph_04.jpg,0.04123432779380808,0.04127055870180328,0.04134133680950473,0.06031760225971075,0.06033281799387741,0.06048859219038687,0.06359896263614301,0.06365390141401524,0.06369262670466071,0.15685800577100273,0.15700754401088649,0.15696962939460238,0.22300217410391657,0.2234868950124306,0.22296182746454843,0.13646231187365965,0.13665949282216364,0.1365439405458898,0.0714208477508646,0.07191654394303983,0.07197672092447763,0.06648839313865133,0.06800036318211346,0.06812589298898837,0.08168953516680384,0.07809057751942576,0.0781280556187461,0.09892783950543314,0.09958130540023803,0.09977137735818874
ph_05.jpg,0.04280161077253997,0.042866714159712056,0.04293050799599275,0.060799205189911935,0.06081679058759635,0.06096433332135991,0.06417111165654905,0.06418239873804153,0.06427138583908996,0.15643857532835956,0.15662303492534713,0.1565152775948554,0.21679982928445005,0.21729271929614372,0.21674800848489068,0.13544809588805923,0.13564652402788835,0.1355625880517067,0.07129326007830321,0.07173002648036576,0.07183223380946065,0.06711604217302593,0.06868045661171,0.06881415552176455,0.08362124745074041,0.07999036170543884,0.0799788875452476,0.10151102217805438,0.10217097346774999,0.10238262183562553
ph_06.jpg,0.042595761844326306,0.042623886008708124,0.04270707367009468,0.06069824505214219,0.060722565282982345,0.06083524901920836,0.06409515770484828,0.06416182008117678,0.06423615268415488,0.15686368049153207,0.15700586030259756,0.15691699792068164,0.21787684135327107,0.21834952686549752,0.21784497561491384,0.13544566386497522,0.13567165493308983,0.13551818804053187,0.07124711399927319,0.0716858135478897,0.07182593549326871,0.06703896574913253,0.06858916220671006,0.06867652795903582,0.08303357089833642,0.07943810538666872,0.07945912056049725,0.10110499904215643,0.10175160538467308,0.10197977903760667
ph_07.jpg,0.04132618343490434,0.04137158119913928,0.041433628967564785,0.06003455218847119,0.06002700668095411,0.0601462381716371,0.06335052212417595,0.06338912269568892,0.06348016766242383,0.1570833108838885,0.15724126766521695,0.1571755406823823,0.2234739242226492,0.22394330467786405,0.2234265933118603,0.13673195463815402,0.13696761143903843,0.1368122113999265,0.07137993987540014,0.07177224390672161,0.07190101641104188,0.06638549985432764,0.06782232662045032,0.06793469855884506,0.0812758418042563,0.07793006399588079,0.07795151568667312,0.09895827097376646,0.09953547111903929,0.09973838914763888
ph_08.jpg,0.0431183350095582,0.043159118165890145,0.04322578054221865,0.06084965407901368,0.060878339479491804,0.061031681652917245,0.06443002857564724,0.06447891847559256,0.06454645388584866,0.15646439218878985,0.156605761325494,0.1565566843468499,0.21580756386617203,0.21626453476770177,0.21569943237828276,0.1352582110088073,0.1354911239887764,0.13535106440296368,0.0715172556402976,0.07195919788635946,0.07206134285588808,0.06711348543080939,0.06860531333437056,0.06874998752808632,0.08360378677218851,0.08003750553752899,0.08006463194885069,0.1018372874287099,0.102520187038788,0.10271294045808774
ph_09.jpg,0.04311764905432938,0.04316853446039492,0.04324074683812028,0.0608829540873948,0.0608737248715888,0.06100574007335442,0.06438070215873812,0.06444555610764517,0.06452425388026124,0.15635520058827423,0.1564900219705214,0.15644531016151528,0.21590553074476143,0.216349343777811,0.2157999559990887,0.13561821278480776,0.135813273508059,0.13565194931015268,0.07147902922618218,0.07191186697557056,0.07207655859005474,0.06709390452700477,0.06857001781986923,0.06869960099855082,0.0833181799587324,0.07980814705283651,0.07978070884368352,0.10184863686976864,0.10256951345569712,0.10277517530521202
ph_10.jpg,0.0434039418230143,0.04345208340816454,0.0435036547694589,0.060997134453210984,0.061016652997449364,0.06116681483299571,0.06451383983269636,0.06453323365780222,0.06463519154863208,0.15626758539768343,0.15640265621819563,0.15633699159492725,0.21517018673946137,0.21563881887988115,0.21512890470659937,0.1352285278552691,0.1354207200384725,0.13526737786504706,0.07143774719332019,0.07190369787239093,0.07201332598987036,0.06717197870395826,0.06869136953580493,0.068815963949186,0.08356824181942214,0.08002110497160345,0.0800156796893391,0.10224081618195759,0.102919662420229,0.10311609505393789
