filename,mean_R,mean_G,mean_B
kp_01.jpg,149.3550638337464,165.86815634940115,179.82453814010847
kp_02.jpg,149.4580604478714,165.97247105767812,179.93820354062652
kp_03.jpg,149.4515600866848,165.96118260427517,179.9432988784258
kp_04.jpg,150.36110909481846,165.88518974020505,179.86851597701974
kp_05.jpg,149.35051071237572,165.85806501259165,179.8499130582927
kp_06.jpg,149.4387509952587,165.93788756470428,179.92475900522024
kp_07.jpg,150.54416086223824,166.0491408971995,180.04257119217522
kp_08.jpg,150.8106199837965,166.35142596372967,180.3417768186045
kp_09.jpg,150.95183440641674,166.48409806116626,180.4673596934703
kp_10.jpg,150.74727251729107,166.27190941000865,180.25358087337315
kp_11.jpg,149.67116915206955,166.1967501062607,180.16873351213067
kp_12.jpg,149.57025784184017,166.08561313671612,180.05988769540994
kp_13.jpg,149.75753097773813,166.2714541228154,180.2537653953297
kp_14.jpg,149.70572645402552,166.220126462706,180.21462784559174
kp_15.jpg,149.9946347076384,166.49612079846187,180.46052028332196
kp_16.jpg,150.1076958439594,166.58267138653753,180.5521835451563
kp_17.jpg,150.08431275268097,166.55315386000726,180.5065703909795
kp_18.jpg,150.41722484714424,166.9001039035093,180.90609597187134
kp_19.jpg,150.28422230636608,166.77484193097146,180.78892534013403
kp_20.jpg,150.368356211811,166.85043008145655,180.85169585593243
kp_21.jpg,153.79398631781228,169.92648686408208,184.0077589019528
kp_22.jpg,153.6418890907676,169.771293734011,183.83855781779434
kp_23.jpg,153.6831067685572,169.7977478468489,183.86253432270527
kp_24.jpg,153.63637357421086,170.0750804812562,184.41791354619397
kp_25.jpg,153.84028349407134,169.99723765829353,184.04826087900048
