filename,mean_R,mean_G,mean_B
pp_01.jpg,154.57070845206596,170.23170301730502,184.54936988152681
pp_02.jpg,154.9928822167479,170.18257371898486,184.8791771555457
pp_03.jpg,155.18028973751112,170.35531377088796,184.6895587387204
pp_04.jpg,154.95459506441495,170.13311297957,184.80655557434656
pp_05.jpg,154.6397218464019,170.26609213551083,184.58707503202788
pp_06.jpg,155.1222659695366,170.3044821811281,184.9821094145983
pp_07.jpg,155.26308677857466,170.478184378779,185.14608108789008
pp_08.jpg,155.5570077435615,170.78039648461663,185.44173995162893
pp_09.jpg,155.36855133489382,171.03601102816458,185.29583216097348
pp_10.jpg,155.46792641720845,171.15039007155886,185.40702787322948
pp_11.jpg,155.43197251040655,171.1021939841477,185.36038603564774
pp_12.jpg,155.44893038377575,171.12791275298028,185.38687513220228
pp_13.jpg,155.36703369012983,171.0029663198477,185.65710657100212
pp_14.jpg,155.33392107224532,170.99258962566302,185.65480356986066
pp_15.jpg,155.82574629434512,171.02088446817766,185.65466837432103
pp_16.jpg,155.8379345339296,171.04206314878894,185.68962016289316
pp_17.jpg,155.89547994167137,171.07394902928604,185.71444943487268
pp_18.jpg,156.25542415979214,171.35558378780985,185.9813979543069
pp_19.jpg,155.48690162254601,171.05674109405618,185.71956990357714
pp_20.jpg,155.45259382121463,171.02168597568277,185.69766697896338
pp_21.jpg,155.63534314473804,170.77690322643406,185.46969524630532
pp_22.jpg,155.10963840680787,170.71106998289852,185.42962517161354
pp_23.jpg,155.13266105979335,170.7524610826419,185.47334833205622
pp_24.jpg,155.2234848995063,170.83709317866166,185.1420293374321
pp_25.jpg,155.17787742005004,170.79659880948105,185.10750614615884
